20.0,-34.02981091609006
20.5,-34.11941046152498
21.0,-34.32557672596054
21.5,-34.424482908541215
22.0,-34.56250557715076
22.5,-34.678944874542076
23.0,-34.80459677805957
23.5,-34.96591725756184
24.0,-35.07466148033978
24.5,-35.227765406663615
25.0,-35.35547769454129
25.5,-35.44148775364097
26.0,-35.559811549120944
26.5,-35.65658784551453
27.0,-35.78598503773997
27.5,-35.87881694672758
28.0,-35.976350414257375
28.5,-36.092918663233036
29.0,-36.14115074863866
29.5,-36.2542873829309
30.0,-36.32436923894094
30.5,-36.430013460884496
31.0,-36.55548276561004
31.5,-36.64795162689357
32.0,-36.677099937267926
32.5,-36.803725376362
33.0,-36.949978574911846
33.5,-36.98350046807831
34.0,-37.08448304745583
34.5,-37.17953266121077
35.0,-37.24930745905203
35.5,-37.290304649217376
36.0,-37.374120056638624
36.5,-37.440340580289934
37.0,-37.51945292214226
37.5,-37.57982599168773
38.0,-37.63053790625738
38.5,-37.7396517311785
39.0,-37.756925234340095
39.5,-37.8540866301933
40.0,-37.93209412357815
40.5,-37.98620400223458
41.0,-38.0863903205873
41.5,-38.172814013578794
42.0,-38.23825360003686
42.5,-38.31767860493447
43.0,-38.37502382931709
43.5,-38.398849446156504
44.0,-38.48839746948488
44.5,-38.537390532545345
45.0,-38.57889399591126
45.5,-38.61449171698224
46.0,-38.69484373824227
46.5,-38.73199411623044
47.0,-38.82404226116046
47.5,-38.87504722061084
48.0,-38.90449703365424
48.5,-38.99095260693373
49.0,-39.071010723142734
49.5,-39.08768782046249
50.0,-39.158882902084265
50.5,-39.13356862757276
51.0,-39.23066344715652
51.5,-39.31211895049178
52.0,-39.35700908445275
52.5,-39.38262033584114
53.0,-39.41262093233735
53.5,-39.463170682204876
54.0,-39.5613646371955
54.5,-39.58335540520805
55.0,-39.62129704015953
55.5,-39.66283074720299
56.0,-39.70945012190532
56.5,-39.746898364699405
57.0,-39.834776817668576
57.5,-39.83324622197651
58.0,-39.87616790310381
58.5,-39.8970826341375
59.0,-39.94999759901895
59.5,-40.01762631783294
60.0,-40.05043932959879
60.5,-40.13356477124494
61.0,-40.14706276083532
61.5,-40.25691217902874
62.0,-40.2674359086295
62.5,-40.296692466649944
63.0,-40.30633354618536
63.5,-40.376723226355786
64.0,-40.40257162703109
64.5,-40.399951708733084
65.0,-40.44504281686874
65.5,-40.48601563901255
66.0,-40.48887727986806
66.5,-40.50009706789385
67.0,-40.550867513579156
67.5,-40.63550374062792
68.0,-40.611068168681065
68.5,-40.678528816381316
69.0,-40.70924158605043
69.5,-40.7440876257819
70.0,-40.7716001183781
70.5,-40.77373423639023
71.0,-40.75538703979678
71.5,-40.86121887222443
72.0,-40.76143536982651
72.5,-40.86859095582822
73.0,-40.833667266555146
73.5,-40.86517834573268
74.0,-40.85243415821601
74.5,-40.91091886189719
75.0,-40.91933161755135
75.5,-40.98808847805402
76.0,-41.00135307329744
76.5,-41.00736955267283
77.0,-41.04869279962312
77.5,-41.056060168503805
78.0,-41.08050495633617
78.5,-41.15640013453141
79.0,-41.216038604762055
79.5,-41.19560559842964
80.0,-41.16312051381348
80.5,-41.24595998263968
81.0,-41.24722970648794
81.5,-41.27931603446123
82.0,-41.25727899848281
82.5,-41.26487366519537
83.0,-41.31450454161503
83.5,-41.36156867870118
84.0,-41.35294895737744
84.5,-41.38150752073813
85.0,-41.36965834695243
85.5,-41.44498766470041
86.0,-41.450516841050074
86.5,-41.47618086220601
87.0,-41.48359096709413
87.5,-41.50289122152356
88.0,-41.56602608579713
88.5,-41.552463159270616
89.0,-41.585804270096176
89.5,-41.56538649424186
90.0,-41.59377804084761
90.5,-41.652502024334154
91.0,-41.70892803529853
91.5,-41.730245243894
92.0,-41.67985318367197
92.5,-41.71522104173288
93.0,-41.72897043920612
93.5,-41.720757749936965
94.0,-41.7113488379977
94.5,-41.76399892341525
95.0,-41.73795622431494
95.5,-41.80351981766742
96.0,-41.77938470245306
96.5,-41.79218288192154
97.0,-41.75683018717169
97.5,-41.72833482396209
98.0,-41.76225322464796
98.5,-41.722080663111456
99.0,-41.73387453407681
99.5,-41.79418241089016
100.0,-41.78626161487149
100.5,-41.73201141707194
101.0,-41.74662720319632
101.5,-41.743156495322154
102.0,-41.72823836474762
102.5,-41.71075603709939
103.0,-41.747286427465355
103.5,-41.66315827362175
104.0,-41.67227909132542
104.5,-41.61616670979034
105.0,-41.63048508811244
105.5,-41.614613546528375
106.0,-41.622651108319324
106.5,-41.57333787660244
107.0,-41.54226266781924
107.5,-41.46198916752674
108.0,-41.45739391184016
108.5,-41.48052679383709
109.0,-41.39042538023216
109.5,-41.393610528321375
110.0,-41.33802915838823
110.5,-41.26651635974206
111.0,-41.249914000897704
111.5,-41.2402606670876
112.0,-41.189384200082856
112.5,-41.13375228056138
113.0,-41.07196625550041
113.5,-41.062684753394315
114.0,-41.029180649661704
114.5,-40.968662701896704
115.0,-40.92882520767605
115.5,-40.819504212859194
116.0,-40.74576948528082
116.5,-40.700413962921985
117.0,-40.61960960743933
117.5,-40.5861557292681
118.0,-40.490548796538924
118.5,-40.39523446092418
119.0,-40.34281494056753
119.5,-40.3141627079583
120.0,-40.113193773542655
